Address;Living_space;Num_of_rooms;Renovation;Price;Total_area;Kitchen_area;Floor;Appliances_1;Appliances_2;Appliances_3;Appliances_4;Appliances_5;Appliances_6;Appliances_7;Appliances_8;Appliances_9;Appliances_10;Balcony_1;Balcony_2;Furniture_1;Furniture_2;Furniture_3;Internet_tv_1;Internet_tv_2;Bathroom_1;Bathroom_2;Utilities_1;Room_type_1;Room_type_2;Studio;Floors_in_b
Республика Татарстан, Казань, ул. Абсалямова, 14;;3;1;30000;78.0;10.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9
Республика Татарстан, Казань, ул. Гоголя, 15;;1;2;18000;37.7;10.0;2;0;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;5
Республика Татарстан, Казань, ул. Адоратского, 3А;;2;3;40000;52.0;20.0;9;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;10
Республика Татарстан, Казань, ул. Тансык, 7;19.0;1;1;15000;41.0;10.0;5;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;18
Республика Татарстан, Казань, ул. Рихарда Зорге, 78;;1;1;17000;36.0;9.0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Республика Татарстан, Казань, Даурская ул., 35А;35.0;2;3;30000;51.0;15.0;6;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;10
Республика Татарстан, Казань, ул. Декабристов, 85;18.0;1;2;17000;35.0;7.0;4;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Разведчика Ахмерова, 7;21.0;1;3;40000;40.0;10.0;10;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;10
Республика Татарстан, Казань, ул. Хади Такташа, 41;16.0;1;1;17000;39.3;10.0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Республика Татарстан, Казань, Кировский район, Приволжская ул., 106А;;1;3;17000;37.0;10.0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, Чистопольская ул., 1;;1;1;18500;39.4;11.2;8;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;14
Республика Татарстан, Казань, ул. Хади Такташа, 121;;1;2;22000;40.2;8.0;4;0;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;17
Республика Татарстан, Казань, ул. Айрата Арсланова, 12/2;;1;1;15000;35.0;8.0;10;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;15
Республика Татарстан, Казань, ул. Латышских Стрелков, 35;28.2;2;1;19500;45.8;7.6;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;5
Республика Татарстан, Казань, Минская ул., 45;17.0;1;1;15000;45.0;15.0;3;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;10
Республика Татарстан, Казань, ул. Академика Павлова, 19;16.0;1;1;15000;32.0;7.0;4;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;9
Республика Татарстан, Казань, Чистопольская ул., 3;;1;1;16500;36.6;9.0;7;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;16
Республика Татарстан, Казань, микрорайон Горки-3, Дубравная ул., 43А;25.0;2;2;25000;63.0;15.0;2;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0;5
Республика Татарстан, Казань, ул. Хусаина Мавлютова, 7/22;10.0;1;2;15000;14.0;2.0;5;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;9
