Address;Living_space;Num_of_rooms;Renovation;Price;Total_area;Kitchen_area;Floor;Appliances_1;Appliances_2;Appliances_3;Appliances_4;Appliances_5;Appliances_6;Appliances_7;Appliances_8;Appliances_9;Appliances_10;Balcony_1;Balcony_2;Furniture_1;Furniture_2;Furniture_3;Internet_tv_1;Internet_tv_2;Bathroom_1;Bathroom_2;Utilities_1;Room_type_1;Room_type_2;Studio;Floors_in_b
Республика Татарстан, Казань, ул. Дзержинского, 11А;;1;3;35000;57.0;15.0;5;0;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;6
Республика Татарстан, Казань, ул. Блюхера, 4;48.0;3;1;23000;70.0;12.0;5;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1;1;0;10
Республика Татарстан, Казань, ул. Четаева, 34А;17.0;4;2;50000;100.0;80.0;11;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;18
Республика Татарстан, Казань, ул. Маршала Чуйкова, 51;35.0;2;1;20000;57.0;10.0;7;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;9
Республика Татарстан, Казань, Авангардная ул., 171А;38.0;2;2;26000;53.0;8.0;2;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;5
Республика Татарстан, Казань, Гвардейская ул., 42;30.0;2;1;18000;44.0;7.0;5;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;0;1;0;1;1;0;5
Республика Татарстан, Казань, ул. Кул Гали, 36;;2;2;25000;50.0;15.0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10
Республика Татарстан, Казань, ул. Баки Урманче, 11Бк2;;2;2;23000;70.0;10.0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;14
Республика Татарстан, Казань, ул. Карбышева, 57;35.0;2;1;18000;60.0;14.0;12;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;1;0;0;14
Республика Татарстан, Казань, ул. Ульянова-Ленина, 47;56.0;3;3;90000;96.0;14.0;4;0;1;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;6
Республика Татарстан, Казань, ул. Азата Аббасова, 9;;1;2;25000;32.6;;14;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;19
Республика Татарстан, Казань, ул. Шуртыгина, 8;35.0;1;3;40000;50.0;6.0;9;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Академика Павлова, 25;;2;1;20000;60.0;10.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5
Республика Татарстан, Казань, Портовая ул., 37;;2;2;32000;56.0;10.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Республика Татарстан, Казань, пр-т Победы, 46Б;28.0;1;2;30000;54.0;18.0;17;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;19
Республика Татарстан, Казань, ул. Академика Парина, 6;;3;1;27000;70.0;9.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Республика Татарстан, Казань, ул. Айрата Арсланова, 12/2;;1;1;15000;35.0;8.0;10;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;15
Республика Татарстан, Казань, ул. Бондаренко, 16;32.0;2;1;30000;54.0;11.0;3;0;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;0;10
Республика Татарстан, Казань, ул. Фатыха Амирхана, 12Д;32.0;2;2;28000;47.0;8.0;4;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;16
Республика Татарстан, Казань, ул. Зинина, 9/23;;3;2;50000;78.0;29.0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;11
Республика Татарстан, Казань, ул. Касаткина, 11;40.0;2;3;90000;83.6;20.0;5;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;1;0;9
Республика Татарстан, Казань, Советский район, посёлок Дербышки, ул. Мира, 47;21.0;1;1;15000;32.0;6.0;9;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;1;1;0;0;0;9
Республика Татарстан, Казань, ул. Родины, 33Бк1;16.0;1;1;24000;34.0;9.0;3;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Баки Урманче, 6;80.0;3;2;45000;100.0;20.0;8;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;9
Республика Татарстан, Казань, Чистопольская ул., 20/12;28.0;2;3;55000;89.0;23.0;3;0;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;1;0;1;0;0;7
Республика Татарстан, Казань, ул. Зои Космодемьянской, 5;;3;3;85000;133.0;50.0;3;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;5
Республика Татарстан, Казань, 1-я Азинская ул., 41;;2;2;35990;50.0;14.0;3;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;9
Республика Татарстан, Казань, ул. Павлюхина, 110В;;2;3;70000;62.0;25.0;17;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;23
Республика Татарстан, Казань, Спартаковская ул., 88Б;;2;2;40000;65.0;15.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Республика Татарстан, Казань, ул. Волкова, 25;;3;3;75000;97.0;91.0;2;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;5
Республика Татарстан, Казань, ул. Салиха Батыева, 13;17.0;2;3;35000;50.0;20.0;7;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;10
Республика Татарстан, Казань, Катановский пер., 2;40.0;2;1;25000;45.0;5.0;3;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1;0;0;4
Республика Татарстан, Казань, ул. Николая Ершова, 62Дк1;17.5;1;3;40000;40.0;10.3;3;0;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, пр-т Альберта Камалеева, 1;96.0;2;2;109000;130.0;25.0;28;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;35
Республика Татарстан, Казань, ул. Маршала Чуйкова, 27;6.0;1;2;15000;13.0;;2;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;1;9
Республика Татарстан, Казань, ул. Зинина, 9/23;;1;2;20000;38.7;8.0;8;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;11
Республика Татарстан, Казань, ул. Чингиза Айтматова, 7;19.0;1;1;18000;40.0;8.0;16;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;20
Республика Татарстан, Казань, ул. Николая Ершова, 62Г;;2;3;30000;54.0;12.0;1;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;10
Республика Татарстан, Казань, Щербаковский пер., 7;50.0;2;1;55000;89.0;18.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;26
Республика Татарстан, Казань, Щербаковский пер., 7;50.0;2;1;55000;89.0;18.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;26
Республика Татарстан, Казань, ул. Восстания, 105;;2;2;18000;69.1;10.0;6;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;14
Республика Татарстан, Казань, ул. Дежнёва, 4к1;;1;1;8000;18.0;5.0;5;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;5
Республика Татарстан, Пестречинский р-н, Кощаковское сельское поселение, д. Царёво, ул. Петра Гаврилова, 9;18.0;1;1;14000;35.0;10.0;2;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;3
Республика Татарстан, Казань, Кировский район, Полевая ул., 28;;1;2;15000;30.0;6.0;2;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;5
Республика Татарстан, Казань, ул. Рихарда Зорге, 1/11;23.0;1;2;19000;40.0;10.0;5;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;9
Республика Татарстан, Казань, пр-т Ямашева, 17;20.0;1;1;15000;33.0;8.0;7;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;9
Республика Татарстан, Казань, Чистопольская ул., 12;20.0;1;2;30000;40.0;10.0;9;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;14
Республика Татарстан, Казань, ул. Габдуллы Тукая, 75Г;;1;2;20000;43.8;8.0;4;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;7
Республика Татарстан, Казань, ул. Рауиса Гареева, 107;24.0;2;1;30000;42.0;12.0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;19
Республика Татарстан, Казань, ул. Волкова, 70;;1;2;29000;38.0;15.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
Республика Татарстан, Казань, ул. Александра Курынова, 10к2;;1;1;20000;31.0;9.0;10;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;18
Республика Татарстан, Казань, ул. Исмаила Гаспринского, 31;;1;2;18000;38.0;8.0;4;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;5
Республика Татарстан, Казань, ул. Николая Ершова, 65Б/1;;1;2;28000;30.0;;6;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;1;1;0;1;0;0;0;1;19
Республика Татарстан, Казань, ул. Галеева, 8Ак1;;2;2;30000;57.0;15.0;10;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;20
Республика Татарстан, Казань, Тэцевская ул., 4Е;;1;2;22000;35.0;6.0;6;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Лядова, 5;;3;1;25000;68.0;8.0;4;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;6
Республика Татарстан, Казань, ул. Рауиса Гареева, 4;;1;1;15000;43.0;7.0;17;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;18
Республика Татарстан, Казань, ул. Братьев Батталовых, 20А;15.0;1;2;22000;35.0;10.0;18;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;25
Республика Татарстан, Казань, ул. Маршала Чуйкова, 53;;1;2;17000;38.0;8.0;3;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;9
Республика Татарстан, Казань, Чистопольская ул., 61А;;1;2;20000;40.7;8.0;8;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;25
Республика Татарстан, Казань, ул. Аметьевская Магистраль, 16к1;;2;3;25000;65.5;12.0;18;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;19
Республика Татарстан, Казань, ул. Павлюхина, 108Б;20.0;1;2;33000;45.3;9.7;7;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Энергетиков, 4;15.0;1;1;15000;20.0;4.0;2;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;5
Республика Татарстан, Казань, пр-т Победы, 20;;2;2;27000;56.0;8.0;4;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;9
Республика Татарстан, Казань, ул. Павлюхина, 108Б;;1;3;30000;55.0;17.0;7;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;17
Республика Татарстан, Казань, ул. Павлюхина, 97;28.3;2;1;18500;44.9;7.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5
Республика Татарстан, Казань, ул. Братьев Касимовых, 6А;;2;2;23000;60.0;10.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9
Республика Татарстан, Казань, ул. Карбышева, 29;;1;1;17000;33.0;6.0;5;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Волкова, 60/12;;2;2;32000;85.0;12.0;7;0;1;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;9
Республика Татарстан, Казань, пр-т Ямашева, 51;18.0;1;2;21000;38.0;9.0;7;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;15
Республика Татарстан, Казань, Тэцевская ул., 4;;1;2;17000;33.0;9.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Республика Татарстан, Лаишевский р-н, Столбищенское сельское поселение, с. Усады, жилой комплекс Южный Парк, Сиреневая ул., 4;40.0;2;2;26000;60.0;13.0;2;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;5
Республика Татарстан, Казань, ул. Алексея Козина, 5;;2;3;30000;56.7;12.0;15;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;16
Республика Татарстан, Казань, ул. Олега Кошевого, 12;;1;2;23000;34.0;6.0;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;5
Республика Татарстан, Казань, Приволжский район, микрорайон Горки-3, Дубравная ул., 23;;3;2;25000;65.0;10.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9
Республика Татарстан, Казань, Чистопольская ул., 5;;2;2;22000;47.9;10.0;2;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;9
Республика Татарстан, Казань, посёлок Дербышки, ул. Мира, 36;;2;2;20000;70.0;10.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9
Республика Татарстан, Казань, ул. Четаева, 9;;2;1;23000;53.0;9.0;5;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;9
Республика Татарстан, Казань, Щербаковский пер., 7;40.0;2;3;55000;60.0;18.0;20;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;25
Республика Татарстан, Казань, ул. Вишневского, 57А;;2;3;40000;55.0;15.0;20;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;20
Республика Татарстан, Казань, ул. Чингиза Айтматова, 13;;1;2;18000;38.0;9.0;16;0;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;0;16
Республика Татарстан, Казань, ул. Генерала Махмута Гареева, 3А;;2;1;13000;52.0;12.0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;10
Республика Татарстан, Казань, Залесная ул., 5А;25.0;1;1;20000;35.0;8.0;4;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;5
Республика Татарстан, Казань, ул. Дементьева, 3;18.0;1;1;15000;35.0;8.0;4;1;1;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Сабира Ахтямова, 1к3;16.0;1;2;26000;36.0;9.0;11;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;19
Республика Татарстан, Казань, ул. Родины, 24В;;1;2;22000;39.5;8.0;10;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;19
Республика Татарстан, Казань, ул. Восстания, 107;50.0;2;2;25000;70.0;14.0;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;14
Республика Татарстан, Казань, пр-т Победы, 139Ак2;25.0;1;2;20000;40.0;8.0;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;18
Республика Татарстан, Казань, ул. Бондаренко, 34;;1;2;35000;50.0;17.0;13;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;20
Республика Татарстан, Казань, пр-т Победы, 139к2;;1;2;20000;42.0;10.0;14;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;18
Республика Татарстан, Казань, ул. Вишневского, 61А;20.0;2;2;28000;51.0;18.0;5;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;20
Республика Татарстан, Казань, Советский район, жилой массив Большие Клыки, Магистральная ул., 16А;18.0;1;1;16000;35.0;9.0;7;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Сабира Ахтямова, 1к1;14.0;1;1;30000;30.0;6.0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
Республика Татарстан, Казань, ул. Волкова, 48/22;35.0;2;1;26999;56.0;15.0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;8
Республика Татарстан, Казань, ул. Баки Урманче, 8;82.0;3;2;35000;96.0;14.0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;22
Республика Татарстан, Казань, ул. Вишневского, 61А;;1;2;19000;33.0;8.0;20;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;20
Республика Татарстан, Казань, Сибирский тракт, 13;18.1;1;2;26000;43.3;13.7;19;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;23
Республика Татарстан, Казань, ул. Братьев Батталовых, 20Ак2;15.0;1;3;21000;30.0;5.0;20;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;25
Республика Татарстан, Казань, ул. Мустая Карима, 7/10;55.0;3;1;15000;82.0;13.0;5;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;18
Республика Татарстан, Казань, ул. Габдуллы Тукая, 65А;;1;2;17000;30.0;8.0;3;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;5
Республика Татарстан, Казань, ул. Разведчика Ахмерова, 3;;1;2;20000;39.0;10.0;14;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;19
Республика Татарстан, Казань, ул. Ульянова-Ленина, 19;25.0;2;3;50000;70.0;20.0;2;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;6
Республика Татарстан, Казань, Комсомольская ул., 2;;2;3;30000;59.9;12.0;7;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;20
Республика Татарстан, Казань, ул. Юлиуса Фучика, 108;7.0;1;2;17000;31.0;16.0;7;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Умырзая, 12;;1;2;20000;28.0;;6;0;1;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;0;0;0;1;19
Республика Татарстан, Казань, ул. Чишмяле, 9;7.0;1;2;18000;36.0;19.0;4;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Достоевского, 57;;1;2;22000;63.2;11.0;3;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;17
Республика Татарстан, Казань, ул. Сибгата Хакима, 37;17.0;1;1;25000;45.0;14.0;9;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Серова, 3;;1;1;18000;34.0;8.0;9;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;9
Республика Татарстан, Казань, ул. Карбышева, 29;;1;1;17000;33.0;6.0;5;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, Ново-Савиновский район, Октябрьская ул., 3;;1;1;18000;34.0;7.0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
Республика Татарстан, Казань, ул. Максимова, 49;21.0;1;2;22000;34.0;7.0;5;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;9
Республика Татарстан, Казань, пр-т Ямашева, 31А;43.0;2;2;27999;62.0;10.0;10;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;14
Республика Татарстан, Казань, ул. Новаторов, 8Б;;1;2;23000;35.1;8.0;13;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;22
Республика Татарстан, Казань, ул. Сибгата Хакима, 7;40.0;1;3;49999;60.0;10.0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
Республика Татарстан, Казань, ул. Юлиуса Фучика, 34;;2;1;17000;50.1;8.0;4;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;9
Республика Татарстан, Казань, Спартаковская ул., 165;18.0;1;2;20000;35.0;8.0;4;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Маршала Чуйкова, 29Б;;2;1;20000;49.0;10.0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9
Республика Татарстан, Казань, пр-т Ямашева, 69;;1;3;30000;40.0;8.0;11;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;13
Республика Татарстан, Казань, ул. Алексея Козина, 7;;1;2;22000;40.7;8.0;5;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;18
Республика Татарстан, Казань, ул. Островского, 86;;1;2;18000;50.8;10.0;2;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;6
Республика Татарстан, Казань, ул. Некрасова, 27;;2;2;45000;70.0;17.0;2;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;7
Республика Татарстан, Казань, Чистопольская ул., 88;;1;3;35000;45.0;25.0;18;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;22
Республика Татарстан, Казань, пр-т Ибрагимова, 47;;1;1;14000;31.5;7.0;1;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;5
Республика Татарстан, Казань, Тэцевская ул., 4;20.0;1;1;20000;40.0;11.0;5;0;1;0;0;0;0;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Рауиса Гареева, 4;35.0;2;2;22000;50.0;9.0;3;0;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;18
Республика Татарстан, Казань, ул. Юлиуса Фучика, 4;;2;1;22000;62.0;13.0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;16
Республика Татарстан, Казань, ул. Фатыха Амирхана, 13;34.0;2;2;22000;52.0;10.0;7;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;1;0;10
Республика Татарстан, Казань, ул. Сибгата Хакима, 7;;1;3;27000;39.9;8.0;14;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;17
Республика Татарстан, Казань, пр. Созидателей, 11;;1;2;18000;37.0;10.0;7;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Абсалямова, 19;;1;2;26000;39.4;8.0;7;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;20
Республика Татарстан, Казань, ул. Профессора Камая, 10к1;55.0;2;2;30000;70.0;10.0;12;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;18
Республика Татарстан, Казань, ул. Декабристов, 131;27.0;2;1;20000;43.0;7.0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;9
Республика Татарстан, Казань, ул. Побежимова, 57А;19.1;1;1;17000;37.7;10.0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Наиля Юсупова, 8;20.0;1;1;13000;41.0;10.0;8;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;18
Республика Татарстан, Казань, ул. Аметьевская Магистраль, 18к3;28.0;2;3;40000;52.0;19.0;18;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0;29
Республика Татарстан, Казань, ул. Бондаренко, 6;18.0;1;1;16000;32.0;7.0;4;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;9
Республика Татарстан, Казань, Краснококшайская ул., 84;51.0;3;2;34999;82.0;20.0;7;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;14
Республика Татарстан, Казань, ул. Короленко, 28Б;;1;2;23000;35.9;8.0;15;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;21
Республика Татарстан, Казань, ул. Декабристов, 191;40.0;2;2;24000;56.0;16.0;5;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0;7
Республика Татарстан, Казань, Роторная ул., 27Б;;1;2;30000;40.0;30.0;5;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;19
Республика Татарстан, Казань, ул. Рихарда Зорге, 111;12.0;1;1;15000;30.0;;4;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;1;9
Республика Татарстан, Казань, ул. Столярова, 15А;;3;2;22000;98.0;15.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9
Республика Татарстан, Казань, Чистопольская ул., 36;;1;3;60000;60.0;10.0;7;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;16
