,Living_space,Num_of_rooms,Renovation,Total_area,Kitchen_area,Floor,Appliances_2,Appliances_3,Appliances_4,Appliances_5,Appliances_7,Appliances_8,Appliances_9,Appliances_10,Balcony_1,Balcony_2,Furniture_1,Furniture_2,Furniture_3,Internet_tv_1,Internet_tv_2,Bathroom_1,Bathroom_2,Utilities_1,Room_type_1,Room_type_2,Studio,Floors_in_b,district_1,district_2,district_3,district_4,district_5,district_6,district_7,1st_floor,Metro_d,Center_d
29,26.40286394680821,2,3,52.0,20.0,9,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,10,0,0,0,1,0,0,0,0,3.03118577166619,4.128450157300607
30,19.0,1,1,41.0,10.0,5,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,18,0,0,0,0,0,1,0,0,13.614040555931105,17.632302665004005
31,18.0,1,1,36.0,9.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0.36230619677437753,7.432433606614146
32,35.0,2,3,51.0,15.0,6,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,10,1,0,0,0,0,0,0,0,1.020764393974768,4.448856621440166
33,18.0,1,2,35.0,7.0,4,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,0,0,0.5507443691411676,3.954198999027465
34,21.0,1,3,40.0,10.0,10,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,10,1,0,0,0,0,0,0,0,3.325251234123786,4.001652053192547
35,16.0,1,1,39.3,10.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0.8003067658487202,1.426880907177198
36,18.801515179217503,1,3,37.0,10.0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,10,0,0,0,0,0,1,0,1,10.12276834511277,12.511488005598384
37,17.717972857163943,1,1,39.4,11.2,8,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,14,0,0,0,0,1,0,0,0,0.2896347743326089,3.802338115591863
38,22.67780164379296,1,2,40.2,8.0,4,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,17,0,0,1,0,0,0,0,0,1.1631968471435563,2.4216904042460055
39,18.0,1,1,35.0,8.0,10,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,15,0,0,0,0,0,1,0,0,13.152068334198102,17.17454637949428
40,28.2,2,1,45.8,7.6,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,1.0874777774083508,4.5690979681480135
41,17.0,1,1,45.0,15.0,3,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,3.2844798640822943,7.752720370625698
42,16.0,1,1,32.0,7.0,4,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,4.2518458874443,8.68679448336034
43,29.38952322079111,1,1,36.6,9.0,7,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,16,0,0,0,0,1,0,0,0,0.2765974364666298,3.7702061935923004
44,10.0,1,2,14.0,2.0,5,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,0.20275780540032312,5.195446485828833
45,23.35200289122161,1,2,45.0,12.0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0.41820626069342304,3.6213116313028384
46,26.06155252843356,1,2,42.0,10.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,2.926028914310421,7.498726701408526
47,29.38952322079111,1,1,36.6,9.0,7,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,16,0,0,0,0,1,0,0,0,0.2765974364666298,3.7702061935923004
48,19.12325037190146,1,2,38.5,10.0,4,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,22,0,0,1,0,0,0,0,0,1.0168889013071403,2.679999616305581
49,20.0,1,1,42.0,7.0,7,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,2.241697492282369,2.2466229284858783
50,12.999999999999998,1,1,18.0,3.333333333333333,2,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,5,1,0,0,0,0,0,0,0,4.860762937443569,4.873287127937586
51,16.0,1,3,38.0,10.0,11,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,17,1,0,0,0,0,0,0,0,5.35420875382189,6.595422010844911
52,18.0,1,1,35.0,8.0,10,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,15,0,0,0,0,0,1,0,0,13.152068334198102,17.17454637949428
53,20.4,1,1,35.6,4.5,4,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0.855404235935334,2.0133398532813978
54,32.187831470247666,1,3,50.6,10.0,3,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0.8149469161436234,0.8693380513344953
55,24.53511397475613,1,1,13.7,8.40219112578674,5,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,5,0,0,1,0,0,0,0,0,0.9397563581944609,3.080148509641831
56,22.0,2,1,43.9,6.2,2,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,5,0,0,0,0,1,0,0,0,0.8386347352335971,5.617081892762873
57,17.856888063443485,1,1,45.8,12.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1.0435622747574924,5.102847433191941
58,23.0,1,2,42.0,9.0,8,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,4.725026616264304,9.222168640525059
59,17.999999999999996,1,1,29.0,7.0,9,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0.8210743067617703,4.479367526451051
60,19.0,1,1,35.6,8.0,3,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0.37007419201631797,2.036845631812187
61,39.236325864254255,2,1,71.0,11.0,2,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,1,0,2.6724592062722974,7.576136259548038
62,55.0,3,2,65.0,5.0,4,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,5,0,0,0,0,0,1,0,0,2.6829424175496177,3.7935233692279677
63,20.342190277922295,1,1,36.0,7.0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3.6713748269407067,8.675527427145813
64,9.888888888888888,1,1,15.0,4.421052631578948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,1,0.9049217663053618,4.384122786720618
65,17.40100576243113,2,1,23.0,4.0,3,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,5,0,0,0,0,0,0,1,0,6.018851813462877,10.97642957168587
66,18.0,1,2,35.0,9.0,3,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,9.923692276116904,10.68741579948771
67,29.0898174540992,2,1,44.0,5.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,1,0,3.912353434506813,8.335332553582655
68,15.0,1,1,33.0,9.0,6,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,2.1307351193691058,4.072650344675694
69,16.0,1,2,30.0,9.0,5,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,12.055138674904418,14.899986446721078
70,17.0,1,2,38.0,11.5,5,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,2.5820697221964872,3.6434845928066557
71,14.0,1,1,44.0,11.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,3.966570545804806,8.692307177513682
72,16.0,1,1,31.5,7.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0.6477821516700824,6.812036546034135
73,17.19824361931055,1,2,30.0,10.0,5,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2.3985371705233605,3.0041808253472273
74,30.999999999999996,1,2,52.0,10.0,8,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,14,0,0,0,1,0,0,0,0,2.9792595646453486,4.115899621809958
75,18.0,1,1,36.7,12.0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,1,1.0663456567591685,2.052053329463684
76,17.0,1,2,47.0,17.0,18,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,23,0,0,0,1,0,0,0,0,3.0380062741664915,3.7920075878911788
77,20.0,1,2,40.0,10.0,6,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,5.454432404815651,8.248401053017549
78,33.0,2,2,52.5,8.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,0,1.3772891294543692,7.49774046129215
79,19.2,1,1,39.0,9.2,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,4.5051928641566565,6.663951912887022
80,20.225100380127092,1,1,49.2,16.0,7,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,1.4487556191738242,8.546276484106683
81,18.0,1,1,37.0,7.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0.05143089332991852,5.051632575347206
82,30.0,2,1,52.0,8.0,8,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,10,1,0,0,0,0,0,0,0,3.6624144867460813,7.20143553420113
83,20.0,1,1,30.0,7.0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,1,0.4274634758856041,5.423843259696173
84,18.0,1,1,33.0,7.0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,1,1.8227659212080805,4.08775206623413
85,16.438529843765142,1,1,18.0,7.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2.339710820694264,2.89720505990961
86,18.504263867108904,1,1,30.7,6.5,3,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0.49223477604199,1.4050348999631253
87,20.0,2,1,44.0,12.0,5,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,5,0,1,0,0,0,0,0,0,0.5150430868450876,1.380348000404767
88,19.0,1,2,30.0,6.0,2,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,1.4895742391819071,2.3590258165228204
89,18.0,1,1,35.0,8.0,10,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,15,0,0,0,0,0,1,0,0,13.152068334198102,17.17454637949428
90,25.0,1,2,38.0,10.0,4,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,0.54418133335196,3.328723643957285
91,27.9,2,1,47.5,8.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,1.3735008733621772,6.33229728521202
92,48.0,2,1,86.0,12.0,2,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,9,1,0,0,0,0,0,0,0,2.2753583970066122,3.4212606501105123
93,31.089064565435695,2,2,54.0,9.0,10,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,20,0,0,0,1,0,0,0,0,2.4292365777007,3.144823210994295
94,17.482119168662845,1,1,31.1,6.0,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,1.6208714617041948,2.3997709388822455
95,19.216388375108775,1,2,42.0,9.0,11,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,24,0,0,1,0,0,0,0,0,0.29724236527227843,7.110652440795975
96,30.029083970661425,1,2,55.1,12.0,7,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,16,0,0,0,1,0,0,0,0,3.5747841911072435,4.310805023688234
97,45.0,3,2,65.0,12.0,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,10,1,0,0,0,0,0,0,0,3.238749702942732,6.387000840466601
98,30.4,2,1,46.4,5.2,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,5,0,0,1,0,0,0,0,1,1.2219733582908316,2.493710127720079
99,18.0,1,2,37.0,10.0,7,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,1,0,3.7006448551988984,8.473233821017274
100,16.0,1,1,30.0,8.0,3,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,9,0,0,1,0,0,0,0,0,0.7049577328922869,5.7182529316964255
101,17.511945392491466,1,1,13.0,5.157894736842104,5,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,5,0,0,0,0,0,1,0,0,1.2575363789764327,3.590186673543955
102,18.0,1,1,30.0,6.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,1,0,0,1.6601233999021054,4.994348229611528
103,21.0,1,1,37.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,4.2128303219917305,8.7610073591421
104,40.49445747333301,2,1,65.0,14.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,1,0,0,0,0,0,0,0.8446866568084519,1.693933078157142
105,14.4,1,1,28.3,6.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0.8936051495848549,4.587159169581989
106,11.0,1,2,22.0,8.495900155336402,5,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,12,0,0,0,0,0,0,1,0,2.998438030571916,7.993399712654374
107,10.0,2,1,53.0,33.0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,5,0,0,0,0,1,0,0,0,1.9422404555100292,6.893346289215289
108,22.929942350102753,1,2,45.5,8.0,6,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,1.0195601985120926,2.883938644781539
109,40.84818914818412,2,2,83.9,20.0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,9,0,0,0,1,0,0,0,1,2.2750606819305412,3.5771426591755016
110,14.0,1,1,30.0,5.0,9,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,12,0,0,0,1,0,0,0,0,1.8990542468986567,4.4773175203579
111,18.0,1,2,33.0,8.0,2,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0.5691827509200346,1.5574510132218928
112,15.4,1,1,40.0,11.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1.1631968471435563,2.4216904042460055
113,18.61629973802729,1,1,32.7,8.0,9,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,1.900646399864592,3.7270705368086823
114,35.0,1,2,55.0,13.0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,2.972158753330807,4.030105424059498
115,18.0,1,1,35.0,7.0,5,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,5,0,0,0,0,0,1,0,0,9.146134186416695,11.675101695362969
116,30.0,2,1,52.0,9.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,1,0,0,0,6.94661054361372,11.935392112796139
117,10.0,1,1,12.0,2.0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,5.54320331273701,10.500779341263096
118,18.1967686795272,1,1,42.0,10.0,6,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,2.267881485284643,3.361655371829504
119,25.0,2,2,47.0,8.0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,12,0,0,0,0,0,0,1,0,2.998438030571916,7.993399712654374
120,34.5,2,1,52.5,10.0,4,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,4,1,0,0,0,0,0,0,0,3.7545274295763296,4.310836591456666
121,20.0,1,2,37.0,9.0,16,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,20,0,0,0,1,0,0,0,0,2.2618828786486502,3.0576983108460194
122,18.57979589711327,1,1,33.0,9.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0.3027136373070168,3.617131552897367
123,38.56647749276964,2,2,70.0,30.0,11,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,12,0,0,1,0,0,0,0,0,2.7714169499525703,6.911867120834008
124,16.0,1,2,18.0,18.0,2,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0.37319236752288726,5.345237691393572
125,36.5,2,2,60.0,10.0,12,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,16,0,0,1,0,0,0,0,0,0.9597559344146075,7.148950538023292
126,35.0,2,2,75.0,15.0,5,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,10,0,0,0,1,0,0,0,0,3.235030077468415,5.551094418574645
127,16.0,1,1,31.0,8.0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,2.2813135103945688,7.288819068918784
128,30.0,1,2,45.0,10.0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,1,0,0,0,0,0,2.909646489931484,7.131737222481588
129,35.0,2,2,75.0,15.0,5,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,10,0,0,0,1,0,0,0,0,3.235030077468415,5.551094418574645
130,27.301745696997006,2,1,50.0,15.0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,9,0,0,1,0,0,0,0,1,1.380782334117911,8.153296901346764
131,17.0,1,2,37.0,10.0,8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,2.798757714183899,7.731827073307978
132,19.28974939178812,1,2,36.4,9.0,6,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,14,0,0,0,0,1,0,0,0,0.2896347743326089,3.802338115591863
133,18.4,1,2,41.3,10.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,1.1310676456235584,2.939691209328265
