Living_space;Num_of_rooms;Renovation;Price;Total_area;Kitchen_area;Floor;Appliances_1;Appliances_2;Appliances_3;Appliances_4;Appliances_5;Appliances_6;Appliances_7;Appliances_8;Appliances_9;Appliances_10;Balcony_1;Balcony_2;Furniture_1;Furniture_2;Furniture_3;Internet_tv_1;Internet_tv_2;Bathroom_1;Bathroom_2;Utilities_1;Room_type_1;Room_type_2;Studio;Floors_in_b;location;coord;district_1;district_2;district_3;district_4;district_5;district_6;district_7;district_8;district_9
17.0;2;3;35000;50.0;20.0;7;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;10;13, улица Салиха Батыева, ЖК Изумрудный город, Восточный, Приволжский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420129, Россия;(55.7536505, 49.246050791129235);0;0;1;0;0;0;0;0;0
40.0;2;1;25000;45.0;5.0;3;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1;0;0;4;2, Катановский переулок, Старо-Татарская слобода, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420012, Россия;(55.78618565, 49.1323807991419);0;1;0;0;0;0;0;0;0
6.0;1;2;15000;13.0;;2;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;1;9;27, улица Маршала Чуйкова, Дружба, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420136, Россия;(55.83658565, 49.126118493820684);0;0;0;1;0;0;0;0;0
;1;2;20000;38.7;8.0;8;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;11;улица Зинина, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420097, Россия;(55.7924244, 49.1564447);0;1;0;0;0;0;0;0;0
19.0;1;1;18000;40.0;8.0;16;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;20;7, улица Чингиза Айтматова, Азино-2, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420140, Россия;(55.7654804, 49.23547295);1;0;0;0;0;0;0;0;0
;2;3;30000;54.0;12.0;1;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;10;62Г, улица Николая Ершова, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420081, Россия;(55.79471135, 49.178937057121686);1;0;0;0;0;0;0;0;0
50.0;2;1;55000;89.0;18.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;26;ЮК Салютем, 7, Щербаковский переулок, Старо-Татарская слобода, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420012, Россия;(55.785674, 49.130863);0;1;0;0;0;0;0;0;0
50.0;2;1;55000;89.0;18.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;26;ЮК Салютем, 7, Щербаковский переулок, Старо-Татарская слобода, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420012, Россия;(55.785674, 49.130863);0;1;0;0;0;0;0;0;0
;2;2;18000;69.1;10.0;6;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;14;Продуктофф, 105, улица Восстания, Левченко, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420095, Россия;(55.8325207, 49.0572738);0;0;0;0;1;0;0;0;0
;1;1;8000;18.0;5.0;5;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;5;4 к1, улица Дежнёва, Ягодная слобода, Кировский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420124, Россия;(55.8173649, 49.081059938536725);0;0;0;0;0;1;0;0;0
;1;2;15000;30.0;6.0;2;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;5;28, Полевая улица, Ягодная слобода, Кировский район, Казань, Татарстан, Приволжский федеральный округ, 420102, Россия;(55.820780850000006, 49.05835992501456);0;0;0;0;0;1;0;0;0
23.0;1;2;19000;40.0;10.0;5;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;9;улица Рихарда Зорге, Горки-1, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420110, Россия;(55.7529247, 49.2035987);0;0;1;0;0;0;0;0;0
20.0;1;2;30000;40.0;10.0;9;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;14;Dolce Vita, 20/12, Чистопольская улица, Ново-Савиновский район, Казань, Татарстан, Приволжский федеральный округ, 420124, Россия;(55.8188376, 49.1112774);0;0;0;1;0;0;0;0;0
;1;2;20000;43.8;8.0;4;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;7;Ara team, 75Г, улица Габдуллы Тукая, Старо-Татарская слобода, Вахитовский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420021, Россия;(55.7779351, 49.1171062);0;1;0;0;0;0;0;0;0
24.0;2;1;30000;42.0;12.0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;19;107, улица Рауиса Гареева, Ферма-2, Приволжский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420011, Россия;(55.723939099999996, 49.17372689478873);0;0;1;0;0;0;0;0;0
;1;2;29000;38.0;15.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;70, улица Волкова, Калуга, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420012, Россия;(55.787447150000006, 49.144183671846115);0;1;0;0;0;0;0;0;0
;1;1;20000;31.0;9.0;10;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;18;10 к2, улица Александра Курынова, ЖК Светлая долина, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420083, Россия;(55.80214255, 49.2375677);1;0;0;0;0;0;0;0;0
;1;2;18000;38.0;8.0;4;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;5;31, улица Исмаила Гаспринского, Старо-Татарская слобода, Вахитовский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420019, Россия;(55.77567435, 49.11352337336199);0;1;0;0;0;0;0;0;0
;1;2;28000;30.0;;6;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;1;1;0;1;0;0;0;1;19;улица Николая Ершова, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420045, Россия;(55.7926726, 49.1517795);0;1;0;0;0;0;0;0;0
;1;2;22000;35.0;6.0;6;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;10;4Е, Тэцевская улица, Соцгород, Авиастроительный район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420036, Россия;(55.85170525, 49.062185585668395);0;0;0;0;0;0;1;0;0
;3;1;25000;68.0;8.0;4;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;6;5, улица Лядова, Соцгород, Авиастроительный район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420036, Россия;(55.851756949999995, 49.081108616393806);0;0;0;0;0;0;1;0;0
;1;1;15000;43.0;7.0;17;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;18;Ozon, 4, улица Рауиса Гареева, Ферма-2, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420011, Россия;(55.7278411, 49.1858929);0;0;1;0;0;0;0;0;0
15.0;1;2;22000;35.0;10.0;18;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;25;20А, улица Братьев Батталовых, Лесной городок, Приволжский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420011, Россия;(55.722504799999996, 49.18352731256944);0;0;1;0;0;0;0;0;0
;1;2;17000;38.0;8.0;3;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;9;Впрок, 53А, улица Маршала Чуйкова, Молодёжно-жилищный комплекс, Брикетный, Ново-Савиновский район, Казань, Татарстан, Приволжский федеральный округ, 420132, Россия;(55.8362206, 49.1381017);0;0;0;1;0;0;0;0;0
;1;2;20000;40.7;8.0;8;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;25;Инкрис, 61А, Чистопольская улица, Ново-Савиновский район, Казань, Татарстан, Приволжский федеральный округ, 420126, Россия;(55.8197526, 49.1325449);0;0;0;1;0;0;0;0;0
20.0;1;2;33000;45.3;9.7;7;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10;108Б, улица Павлюхина, Приволжский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420059, Россия;(55.7686068, 49.14287245434558);0;0;1;0;0;0;0;0;0
15.0;1;1;15000;20.0;4.0;2;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;5;4, улица Энергетиков, Кизическая слобода, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420034, Россия;(55.82797855, 49.078354150801474);0;0;0;0;1;0;0;0;0
;1;3;30000;55.0;17.0;7;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;17;108Б, улица Павлюхина, Приволжский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420059, Россия;(55.7686068, 49.14287245434558);0;0;1;0;0;0;0;0;0
28.3;2;1;18500;44.9;7.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;97, улица Павлюхина, Воскресенский, Приволжский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420087, Россия;(55.7666151, 49.1480954);0;0;1;0;0;0;0;0;0
;2;2;23000;60.0;10.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;6А, улица Братьев Касимовых, Горки-1, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420101, Россия;(55.7559745, 49.18162146401117);0;0;1;0;0;0;0;0;0
;1;1;17000;33.0;6.0;5;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10;29, улица Карбышева, Горки-1, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420101, Россия;(55.754925549999996, 49.17988569527101);0;0;1;0;0;0;0;0;0
;2;2;32000;85.0;12.0;7;0;1;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;9;Murzik, 60/12, улица Волкова, Калуга, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420012, Россия;(55.7864267, 49.1440152);0;1;0;0;0;0;0;0;0
;1;2;17000;33.0;9.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;Арыш мае, 4Б, Тэцевская улица, Соцгород, Авиастроительный район, Казань, Татарстан, Приволжский федеральный округ, 420036, Россия;(55.8501282, 49.066143);0;0;0;0;0;0;1;0;0
;2;3;30000;56.7;12.0;15;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;16;улица Алексея Козина, Ново-Савиновский район, Казань, Татарстан, Приволжский федеральный округ, 420126, Россия;(55.8140361, 49.1343007);0;0;0;1;0;0;0;0;0
;1;2;23000;34.0;6.0;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;5;12, улица Олега Кошевого, Соцгород, Авиастроительный район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420127, Россия;(55.8553526, 49.09534126281946);0;0;0;0;0;0;1;0;0
;2;2;22000;47.9;10.0;2;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;9;БЖФ Банк, 5, Чистопольская улица, Кизическая слобода, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420066, Россия;(55.8191127, 49.100751);0;0;0;0;1;0;0;0;0
;2;1;23000;53.0;9.0;5;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;9;9, улица Четаева, 60-й квартал, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420126, Россия;(55.8247672, 49.138217374616694);0;0;0;1;0;0;0;0;0
40.0;2;3;55000;60.0;18.0;20;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;25;ЮК Салютем, 7, Щербаковский переулок, Старо-Татарская слобода, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420012, Россия;(55.785674, 49.130863);0;1;0;0;0;0;0;0;0
;2;3;40000;55.0;15.0;20;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;20;Ozon, 57А, улица Вишневского, Калуга, Вахитовский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420043, Россия;(55.7820939, 49.1506138);0;1;0;0;0;0;0;0;0
;1;2;18000;38.0;9.0;16;0;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;0;16;13, улица Чингиза Айтматова, Азино-2, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420140, Россия;(55.76703695, 49.23835756174548);1;0;0;0;0;0;0;0;0
;2;1;13000;52.0;12.0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;10;3А, улица Генерала Махмута Гареева, Залесный, Кировский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420076, Россия;(55.85728925, 48.90984798820969);0;0;0;0;0;1;0;0;0
25.0;1;1;20000;35.0;8.0;4;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;5;5А, Залесная улица, Залесный, Кировский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420076, Россия;(55.84782725, 48.90425137497465);0;0;0;0;0;1;0;0;0
18.0;1;1;15000;35.0;8.0;4;1;1;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;1;0;0;0;0;9;2 к3, улица Дементьева, Соцгород, Авиастроительный район, Казань, Татарстан, Приволжский федеральный округ, 420127, Россия;(55.84571855, 49.08540395);0;0;0;0;0;0;1;0;0
16.0;1;2;26000;36.0;9.0;11;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;19;1 к3, улица Сабира Ахтямова, Азино-1, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420081, Россия;(55.787663800000004, 49.217478500953675);1;0;0;0;0;0;0;0;0
;1;2;22000;39.5;8.0;10;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;19;Magic Shop, 24В, улица Родины, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420087, Россия;(55.7624464, 49.1936606);1;0;0;0;0;0;0;0;0
50.0;2;2;25000;70.0;14.0;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;14;107, улица Восстания, Левченко, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420095, Россия;(55.83223515, 49.055701386342086);0;0;0;0;1;0;0;0;0
;1;2;35000;50.0;17.0;13;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;20;34, улица Бондаренко, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420066, Россия;(55.81574295, 49.10550168787066);0;0;0;0;1;0;0;0;0
20.0;2;2;28000;51.0;18.0;5;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;20;61А, улица Вишневского, Калуга, Вахитовский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420043, Россия;(55.7801799, 49.14923351172674);0;1;0;0;0;0;0;0;0
14.0;1;1;30000;30.0;6.0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;Аптеки столицы, 1 к1, улица Сабира Ахтямова, Азино-1, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420081, Россия;(55.7884089, 49.2175879);1;0;0;0;0;0;0;0;0
35.0;2;1;26999;56.0;15.0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;8;Guesthouse Dyagilev, 48/22, улица Волкова, Калуга, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420012, Россия;(55.7854173, 49.1418394);0;1;0;0;0;0;0;0;0
82.0;3;2;35000;96.0;14.0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;22;Магнит, 8, улица Баки Урманче, Ферма-2, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420011, Россия;(55.7317333, 49.1733268);0;0;1;0;0;0;0;0;0
;1;2;19000;33.0;8.0;20;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;20;61А, улица Вишневского, Калуга, Вахитовский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420043, Россия;(55.7801799, 49.14923351172674);0;1;0;0;0;0;0;0;0
18.1;1;2;26000;43.3;13.7;19;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;23;Сбербанк, 13, Сибирский тракт, Царицыно, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420029, Россия;(55.8075912, 49.1823095);1;0;0;0;0;0;0;0;0
15.0;1;3;21000;30.0;5.0;20;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;25;улица Братьев Батталовых, Лесной городок, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420011, Россия;(55.7143683, 49.173651);0;0;1;0;0;0;0;0;0
55.0;3;1;15000;82.0;13.0;5;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;18;улица Мустая Карима, Залесный, Кировский район, Казань, Татарстан, Приволжский федеральный округ, 420076, Россия;(55.8593346, 48.8959756);0;0;0;0;0;1;0;0;0
;1;2;17000;30.0;8.0;3;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;5;65А, улица Габдуллы Тукая, Старо-Татарская слобода, Вахитовский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420021, Россия;(55.7789285, 49.11528809408178);0;1;0;0;0;0;0;0;0
;1;2;20000;39.0;10.0;14;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;19;Газпромбанк, 3, улица Разведчика Ахмерова, Art City, Октябрьский городок, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420061, Россия;(55.7978535, 49.1793271);1;0;0;0;0;0;0;0;0
25.0;2;3;50000;70.0;20.0;2;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;6;19, улица Ульянова-Ленина, Старо-Татарская слобода, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420012, Россия;(55.7842342, 49.132768646097205);0;1;0;0;0;0;0;0;0
;2;3;30000;59.9;12.0;7;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;20;Магнит, 2, Комсомольская улица, Козья слобода, Кировский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420066, Россия;(55.8114007, 49.0955234);0;0;0;0;0;1;0;0;0
7.0;1;2;17000;31.0;16.0;7;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;9;Клиника ветеринарной медицины доктора Птицына, 108А, улица Юлиуса Фучика, Азино-2, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420140, Россия;(55.771221, 49.233114159928235);1;0;0;0;0;0;0;0;0
;1;2;20000;28.0;;6;0;1;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;0;0;0;1;19;12, Умырзая улица, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420125, Россия;(55.78792125, 49.255766321027636);1;0;0;0;0;0;0;0;0
7.0;1;2;18000;36.0;19.0;4;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;9;9, улица Чишмяле, Азино-2, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420140, Россия;(55.764598500000005, 49.22494544421593);1;0;0;0;0;0;0;0;0
;1;2;22000;63.2;11.0;3;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;17;Gamma, 57, улица Достоевского, Калуга, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420097, Россия;(55.7885646, 49.1522512);0;1;0;0;0;0;0;0;0
17.0;1;1;25000;45.0;14.0;9;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;9;Kiwi (ногтевая студия), 37, улица Сибгата Хакима, Ново-Савиновский район, Казань, Татарстан, Приволжский федеральный округ, 420126, Россия;(55.817365, 49.137098);0;0;0;1;0;0;0;0;0
;1;1;18000;34.0;8.0;9;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;9;Библиотека для слепых, 3, улица Серова, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420102, Россия;(55.831018, 49.062903);0;0;0;0;1;0;0;0;0
;1;1;17000;33.0;6.0;5;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10;29, улица Карбышева, Горки-1, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420101, Россия;(55.754925549999996, 49.17988569527101);0;0;1;0;0;0;0;0;0
;1;1;18000;34.0;7.0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3, Октябрьская улица, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420044, Россия;(55.83671205, 49.094955675421396);0;0;0;1;0;0;0;0;0
21.0;1;2;22000;34.0;7.0;5;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;9;49, улица Максимова, Соцгород, Авиастроительный район, Казань, Татарстан, Приволжский федеральный округ, 420037, Россия;(55.863437649999995, 49.0760486669369);0;0;0;0;0;0;1;0;0
;1;2;23000;35.1;8.0;13;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;22;8Б, улица Новаторов, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420061, Россия;(55.8059586, 49.17725977602489);1;0;0;0;0;0;0;0;0
40.0;1;3;49999;60.0;10.0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;Пятёрочка, 7, улица Сибгата Хакима, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420124, Россия;(55.8158004, 49.1079289);0;0;0;1;0;0;0;0;0
;2;1;17000;50.1;8.0;4;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;9;Сбербанк, 34, улица Юлиуса Фучика, Горки-2, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420139, Россия;(55.7451687, 49.2184685);0;0;1;0;0;0;0;0;0
18.0;1;2;20000;35.0;8.0;4;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;10;СДЭК, 165, Спартаковская улица, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420049, Россия;(55.7689874, 49.1527033);0;0;1;0;0;0;0;0;0
;2;1;20000;49.0;10.0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;29Б, улица Маршала Чуйкова, Дружба, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420136, Россия;(55.83862515, 49.126082);0;0;0;1;0;0;0;0;0
;1;2;22000;40.7;8.0;5;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;18;7А, улица Алексея Козина, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 421001, Россия;(55.815174049999996, 49.13711967974455);0;0;0;1;0;0;0;0;0
;1;2;18000;50.8;10.0;2;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;6;86, улица Островского, Старо-Татарская слобода, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420107, Россия;(55.78118805, 49.129804232439994);0;1;0;0;0;0;0;0;0
;2;2;45000;70.0;17.0;2;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;7;27, улица Некрасова, Старо-Татарская слобода, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420012, Россия;(55.7892037, 49.130759093470765);0;1;0;0;0;0;0;0;0
;1;3;35000;45.0;25.0;18;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;22;88, Чистопольская улица, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 421001, Россия;(55.81840175, 49.14689051949904);0;0;0;1;0;0;0;0;0
20.0;1;1;20000;40.0;11.0;5;0;1;0;0;0;0;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;10;Арыш мае, 4Б, Тэцевская улица, Соцгород, Авиастроительный район, Казань, Татарстан, Приволжский федеральный округ, 420036, Россия;(55.8501282, 49.066143);0;0;0;0;0;0;1;0;0
35.0;2;2;22000;50.0;9.0;3;0;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;18;Ozon, 4, улица Рауиса Гареева, Ферма-2, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420011, Россия;(55.7278411, 49.1858929);0;0;1;0;0;0;0;0;0
;2;1;22000;62.0;13.0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;16;Детская городская поликлиника №10, 4, улица Юлиуса Фучика, Горки-1, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420138, Россия;(55.7438858, 49.2007236);0;0;1;0;0;0;0;0;0
;1;3;27000;39.9;8.0;14;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;17;Пятёрочка, 7, улица Сибгата Хакима, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420124, Россия;(55.8158004, 49.1079289);0;0;0;1;0;0;0;0;0
;1;2;18000;37.0;10.0;7;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;9;11, проезд Созидателей, Город-парк «Новые Горки», Советский район, Казань, Татарстан, Приволжский федеральный округ, 420104, Россия;(55.760714899999996, 49.200360066955156);1;0;0;0;0;0;0;0;0
;1;2;26000;39.4;8.0;7;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;20;Трдельник, 19, улица Абсалямова, Ново-Савиновский район, Казань, Татарстан, Приволжский федеральный округ, 420066, Россия;(55.8198955, 49.1097579);0;0;0;1;0;0;0;0;0
55.0;2;2;30000;70.0;10.0;12;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;18;10 к1, улица Профессора Камая, Горки-1, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420101, Россия;(55.7491146, 49.184833964712354);0;0;1;0;0;0;0;0;0
27.0;2;1;20000;43.0;7.0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;9;Вита, 131, улица Декабристов, Кизическая слобода, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420034, Россия;(55.8274572, 49.0825765);0;0;0;0;1;0;0;0;0
